standard,exponential,lorentz
0.985916,1.42552,1.23857
0.906995,1.69582,-1.45578
0.0961431,0.037298,0.471992
0.838807,0.572751,-22.9559
0.35271,0.376383,-0.174726
0.672912,1.05478,-0.161273
0.0737708,0.0179998,-0.449471
0.585922,0.00315445,10.0487
0.510853,0.00244283,-0.0585638
0.269321,2.16212,2.09531
0.0814197,1.97989,-0.0896579
0.557847,1.98529,-3.74971
0.37779,2.57264,2.66546
0.362877,0.278745,-0.88716
0.265818,0.406388,2.91264
0.638015,1.4039,-5.01225
0.774758,0.706062,-0.00432344
0.17513,0.178378,3.35603
0.192706,1.26402,-0.0967146
0.63556,0.937627,0.0382291
0.306518,0.023605,0.740552
0.513823,0.514377,-0.756701
0.158377,2.14319,0.6182
0.147904,0.901604,3.0261
0.916719,0.703381,2.80244
0.688462,2.01546,-0.05562
0.267345,0.465569,0.335462
0.630232,0.684408,-4.76907
0.831662,0.2585,-0.176047
0.528452,0.31344,-0.272249
0.555673,2.28392,-0.0106502
0.163992,0.439572,-0.661343
0.542181,0.362172,4.28843
0.236551,1.4977,-0.675346
0.375082,0.239036,0.372162
0.243234,1.88073,0.739963
0.544722,0.885841,-0.0387242
0.392162,0.197517,1.46198
0.882483,0.207572,0.325687
0.782783,1.08169,5.18099
0.239168,0.410501,0.485845
0.605093,0.773752,0.696343
0.789363,2.57545,1.26462
0.579802,0.43878,-0.793719
0.289445,1.9448,-5.38116
0.116767,0.618326,1.52215
0.908205,1.05402,-3.05657
0.933158,1.52258,-1.21534
0.176765,7.5624,-0.0288578
0.0270522,0.872054,11.3321
0.787481,0.561243,-8.22085
0.0644457,0.052832,1.84286
0.0537989,2.72196,0.0788665
0.234265,0.441338,-0.716984
0.557967,1.02448,0.513457
0.630908,2.58066,0.373808
0.437019,0.624699,-3.61812
0.0255961,0.799105,0.873431
0.632408,2.26599,1.38956
0.932798,2.12895,5.66283
0.00568107,0.492059,-1.27042
0.426059,2.30078,-0.00171477
0.125561,0.228652,-0.740953
0.573597,0.646566,-0.353086
0.71779,0.670864,0.0453396
0.755724,0.226831,-0.702563
0.716117,0.972546,0.517982
0.227562,0.00827172,-1.18889
0.670233,1.73378,0.165949
0.675733,1.29937,-3.00676
0.486142,0.845875,-0.900118
0.920404,0.299654,-6.89225
0.342881,0.90445,1.57717
0.610643,0.605323,-17.5916
0.283634,1.18477,-0.600143
0.669617,1.87701,-0.791421
0.951702,0.257955,1.07765
0.573755,0.988357,0.770739
0.00237136,0.840927,0.299597
0.513741,0.709369,3.61451
0.127125,2.86045,-0.425194
0.817917,1.05765,0.607295
0.409034,0.590979,1.95107
0.656145,1.74832,0.605789
0.72036,0.560598,-0.23821
0.580197,0.151456,-0.516307
0.725854,0.0981966,3.8184
0.649006,0.199464,-3.72724
0.567914,1.16366,0.463616
0.646935,0.36708,0.496608
0.959032,2.63299,1.53725
0.956054,0.127436,0.31361
0.0150986,0.347037,-0.437993
0.166787,1.28277,13.1039
0.216465,0.247018,0.354522
0.78598,0.288225,-4.29651
0.0710075,1.21434,0.168128
0.683175,0.294562,2.71406
0.156781,2.0971,0.421438
0.428794,3.87097,-0.144372
0.554855,0.488393,-21.6523
0.812363,2.21424,-0.334472
0.835319,0.0882567,-0.473368
0.319974,2.23267,-1.75374
0.467262,0.14777,-2.1768
0.396267,1.42794,1.06293
0.0479405,4.49911,-0.535052
0.286043,2.20068,-2.84962
0.207131,0.676545,-5.9642
0.816025,0.380639,-4.13452
0.712864,0.356199,3.26824
0.692926,2.40041,0.178024
0.938271,0.645729,-0.675627
0.937838,0.210543,0.260796
0.673027,1.13173,-1.0386
0.0465888,0.815346,23.2739
0.329449,0.823144,0.618423
0.820004,0.13309,0.844802
0.751793,0.308926,-2.63557
0.724275,0.431755,0.893663
0.642718,0.72099,5.26792
0.751582,1.52641,-1.80234
0.0645222,3.25375,0.691982
0.403094,1.22864,-11.8883
0.479631,0.640833,3.35917
0.799518,0.881605,-0.108484
0.99513,0.798229,1.30515
0.0785518,0.124572,0.549549
0.821586,3.15434,-5.32101
0.161997,0.822773,-0.104717
0.314158,0.960912,3.13432
0.725305,1.61936,-0.554402
0.883415,0.357724,0.298903
0.0796116,0.0451865,0.605931
0.473112,0.265951,1.59537
0.26121,0.372713,-0.015363
0.959183,0.265815,4.83632
0.62974,1.12228,1.89731
0.895251,0.390861,-0.395783
0.867592,0.183897,-0.520347
0.252963,1.17315,0.0352179
0.679214,0.269025,-0.612452
0.238121,0.0131102,8.29802
0.446365,0.356407,0.198602
0.688279,0.748086,-1.5894
0.820476,0.488305,6.92376
0.176926,0.149778,-0.244907
0.329604,0.724096,3.38308
0.0673982,0.554891,1.09929
0.960374,0.196229,5.96916
0.705182,1.36456,0.00715823
0.789686,1.72375,-0.493737
0.55148,0.0543392,-0.188272
0.0306539,0.712481,0.743367
0.63149,0.470161,2.0617
0.637164,0.841544,0.413245
0.256615,0.303281,-4.23029
0.175876,0.697311,1.52854
0.636219,0.110993,-0.642798
0.666819,0.0300623,-1.2171
0.467283,0.143903,-0.322609
0.847554,0.52727,-2.31257
0.613216,1.08217,-0.293868
0.0663728,0.565379,-1.23645
0.372145,1.25699,6.95656
0.0611806,0.682828,-1.7221
0.139462,0.0860331,-0.332889
0.502315,0.119992,-0.816565
0.798089,1.43797,0.835447
0.192503,1.08627,-2.03104
0.776208,1.84485,0.350658
0.527296,0.490099,-0.316526
0.783966,1.03306,2.2382
0.106845,0.21419,0.630796
0.901104,0.115828,1.69641
0.516147,0.0766565,4.76232
0.278793,0.020825,-0.23111
0.105086,0.137388,0.273768
0.200989,0.247229,1.80513
0.55441,0.144069,-0.966498
0.209708,0.161455,-0.50023
0.575337,0.9937,-0.291313
0.52453,1.73935,-0.184717
0.814524,0.442396,12.3631
0.738362,3.37555,1.05561
0.772696,0.831987,2.67464
0.113915,0.918962,-0.383927
0.919387,2.37964,-0.117629
0.962801,1.00191,7.7226
0.691375,1.58967,1.2927
0.323109,1.10742,1.20754
0.788797,0.431553,-1.76449
0.533186,0.515063,7.93429
0.393738,2.80265,-3.46649
0.710457,1.01105,0.355833
0.387641,0.916207,-0.655529
0.698665,1.07924,-0.850828
0.737673,0.00285432,-5.5332
0.195767,1.75659,26.1613
0.760874,0.287764,0.215573
0.909781,0.392824,0.702848
0.484289,0.415861,0.422351
0.0328508,3.56129,-0.826775
0.583416,1.79689,0.272477
0.143143,1.15426,1.56598
0.0281933,0.190995,1.21583
0.310255,0.431191,-1.0505
0.225675,0.698596,0.341107
0.125759,1.38749,1.27525
0.197001,1.61778,0.319733
0.10457,2.53949,9.36756
0.809052,3.43413,0.814599
0.304945,1.07849,0.60729
0.908743,0.101209,1.91187
0.227236,1.41013,2.67481
0.890758,2.09883,-1.09757
0.0818251,0.171492,2.26312
0.117523,0.629923,2.7319
0.588527,0.728281,3.14165
0.982441,0.263858,25.2377
0.00394992,0.0839358,1.36915
0.0500037,2.02943,-0.503101
0.818996,1.80744,-1.80247
0.000357946,0.358296,-2.54674
0.45386,1.59787,-2.58116
0.837682,0.373144,0.28817
0.112864,0.0903999,-0.594425
0.612527,0.930473,-0.367487
0.189793,0.0933202,0.913926
0.350791,1.10501,-0.0664077
0.869821,3.50816,0.0495844
0.15569,1.78922,8.37383
0.863006,1.45613,1.81802
0.376189,0.125385,0.832051
0.0976483,1.63688,-0.590219
0.926074,0.968412,-2.13909
0.480245,2.67403,-5.24779
0.759594,0.782841,-0.35268
0.590755,1.82474,2.18724
0.00548739,0.884257,0.196489
0.482971,2.43662,1.27449
0.226562,0.891456,-1.24664
0.417731,0.088246,-0.115387
0.889778,0.0723243,0.709777
0.616459,0.295128,-0.370628
0.250179,0.196678,0.512624
0.439675,0.100072,2.32174
0.780342,0.0406521,-0.703204
0.657631,0.487489,-0.50631
0.458501,0.383535,0.164306
0.551499,0.0705128,-2.38492
0.940162,0.835341,-2.72489
0.112253,0.76663,8.78947
0.0522553,0.863944,0.0701562
0.608313,0.335597,-0.448071
0.681518,3.37209,-6.26805
0.588296,3.28188,0.174173
0.882897,2.13997,-0.864972
0.992183,0.0564707,-0.0286376
0.739558,0.0389512,-0.0114694
0.267163,0.242338,9.21064
0.0409674,0.20829,2.64907
0.321059,0.0978717,-0.720294
0.60955,0.278709,-0.188905
0.948867,0.130089,0.295275
0.812152,0.883091,2.9844
0.637851,0.23612,-3.31367
0.219829,0.932572,-1.81296
0.918085,0.104844,-0.060576
0.929187,0.44039,-1.62726
0.686098,1.90653,-0.598497
0.63001,3.27913,0.957483
0.398432,0.367707,-3.41277
0.40647,0.308798,-0.0815414
0.628167,0.867846,0.785569
0.556342,1.64063,1.27907
0.8219,3.09134,2.22091
0.58432,0.0253416,-15.1814
0.247607,0.168861,-19.3731
0.92345,0.998841,-0.678438
0.384655,1.52584,0.859669
0.99327,0.204044,-1.48986
0.660449,0.117761,-12.8603
0.533087,1.81255,0.757427
0.391554,0.388563,0.476726
0.406585,0.275627,1.78763
0.608462,0.54396,-142.084
0.75366,1.89648,0.610526
0.367677,0.0563982,2.49106
0.0808529,0.453403,-27.1916
0.194496,0.154566,0.791325
0.0156564,0.559658,5.81281
0.650651,0.142058,-0.200372
0.258442,0.639808,0.896691
0.526116,0.271448,5.38927
0.21294,0.79784,-1.80227
0.643045,3.33342,-4.45214
0.0589248,1.04063,-0.147332
0.145148,1.08531,-1.73289
0.942193,0.0045638,-0.302218
0.726673,1.93677,0.267932
0.925095,1.58436,0.201672
0.729981,0.738337,-11.6771
0.16525,1.97361,0.750535
0.303529,0.227469,0.524663
0.787593,0.64044,3.73206
0.663449,0.661329,0.931925
0.37326,0.101193,3.8536
0.970558,1.01784,4.82954
0.513721,1.43458,5.73215
0.366886,0.818599,-7.74285
0.907663,1.43434,-0.762636
0.553512,0.343033,1.82773
0.422903,1.27729,-3.19911
0.421757,0.67394,0.39077
0.709941,0.579272,-0.0447568
0.870395,0.16707,-1.20769
0.564314,0.278828,-0.389964
0.451859,0.427238,-0.234731
0.6077,5.22404,-2.14778
0.57596,1.70763,0.205194
0.910995,3.94455,-1.43303
0.445121,0.0490485,1.41269
0.19535,1.77517,-0.446541
0.319624,1.30004,1.36519
0.947767,1.02215,0.0344642
0.984699,2.12808,0.72723
0.548686,0.259854,-0.68415
0.450821,0.194694,2.75008
0.604426,0.477193,0.0422272
0.970646,1.64793,-0.320589
0.25808,1.07946,-25.9247
0.505167,1.22012,-3.76355
0.867044,1.25314,0.788797
0.488499,0.473334,0.527417
0.627427,0.136558,-4.8549
0.235011,1.98715,0.772716
0.413195,0.698276,-1.12168
0.0685683,0.255429,0.0720998
0.136987,0.0877497,-2.49072
0.698513,4.13625,-5.32287
0.455043,1.56161,-15.8227
0.634491,2.23096,-0.854908
0.398074,1.95757,0.667704
0.237992,0.0127202,-0.559874
0.799496,0.0415339,1.30971
0.823197,0.40957,-0.268966
0.545049,4.47965,-0.737149
0.56286,0.184945,-0.458787
0.577964,0.326835,-0.292461
0.338285,0.248147,-7.09762
0.243179,1.03237,12.7226
0.763267,1.70743,-1.1902
0.759202,0.940562,-0.0754987
0.748819,0.850971,-2.26399
0.885928,0.402751,5.58234
0.231991,2.12521,-1.85703
0.505755,0.462274,-2.94286
0.245771,0.72781,-0.312653
0.977537,0.211558,8.16659
0.134933,0.143669,0.0841477
0.704564,1.07486,-1.09381
0.805145,1.39255,-12.1174
0.730196,0.0150009,-3.07785
0.371625,0.54455,0.753437
0.101421,0.372486,0.140742
0.872663,1.27964,0.0423488
0.352541,0.341747,0.808228
0.689794,1.33325,0.200973
0.871613,0.819443,2.15313
0.878808,1.25523,0.652354
0.889046,0.272756,10.0638
0.701594,0.200615,9.35753
0.108721,3.02961,-2.83373
0.819868,0.621334,-1.48492
0.528346,0.64396,-0.604567
0.589314,0.649336,-1.46199
0.522205,1.71901,6.11851
0.911876,0.895194,-0.0666838
0.4917,0.276397,1.45047
0.0372485,0.00252809,1.2151
0.983032,0.218255,0.177193
0.45756,2.47039,2.30342
0.618305,0.63045,-0.601413
0.792082,1.82706,-1.56726
0.794672,2.59073,48.0062
0.985311,0.127499,2.61206
0.978535,0.679919,1.35311
0.801069,3.10826,-0.71095
0.512865,0.986166,-0.0298355
0.254047,1.82421,1.90513
0.884692,0.115404,14.0065
0.326223,0.351671,-0.848042
0.578486,0.706675,-1.10168
0.604748,0.0756402,3.26927
0.865359,1.37655,-0.777133
0.160576,0.0114932,-1.52804
0.219764,2.36308,2.34223
0.521221,2.11616,0.253597
0.0768767,1.14521,1.57758
0.112565,0.381915,-1.25561
0.247367,0.737063,0.218698
0.187916,0.589639,0.171254
0.515084,2.16666,0.50771
0.466155,0.592495,0.848346
0.202066,0.819831,1.65498
0.756579,0.166608,4.20047
0.752699,2.22767,9.50972
0.0131869,1.6972,-0.66688
0.481716,1.067,-7.178
0.317492,1.44974,-2.58294
0.971438,0.231737,0.267302
0.492545,2.31423,0.713211
0.703206,0.629563,0.431405
0.982519,0.0866996,-0.549257
0.210925,0.415044,-0.145981
0.516277,0.592831,-0.355151
0.745258,0.746253,-9.65004
0.700117,1.05527,-1.40536
0.165197,1.28185,0.0290533
0.130269,0.861357,2.61272
0.238019,1.38944,1.1771
0.516804,0.734276,0.738133
0.887251,0.0578832,3.51989
0.517109,0.253565,1.06072
0.252267,0.21296,-1.28008
0.961763,0.831832,4.35786
0.496771,0.101221,-2.86131
0.628409,0.26654,-0.168044
0.600696,1.87184,0.358726
0.453796,0.329267,-0.641568
0.728447,0.988632,0.206376
0.0162102,1.08787,1.33336
0.470709,0.213669,8.53302
0.41159,0.848097,0.438511
0.92987,0.180518,0.715142
0.25766,0.38206,-0.943016
0.505806,0.353899,2.51155
0.794271,0.486172,1.86422
0.15884,0.768995,-0.570236
0.229685,1.94717,-1.14059
0.353149,1.05287,0.870621
0.720895,2.42928,-1.15857
0.299294,0.563131,0.239795
0.342713,2.06847,-27.5809
0.979011,0.317406,53.4769
0.63231,0.755209,-0.34728
0.790439,1.10684,-0.00489999
0.592934,1.27357,0.530061
0.571231,0.0607624,-1.73997
0.0906931,0.149404,-1.50866
0.541785,0.844039,1.35641
0.00558377,1.21312,0.0568894
0.916868,2.46368,0.207689
0.091001,0.922343,5.96984
0.00261637,0.585547,6.46263
0.437869,5.9392,-21.0823
0.0510352,0.0697232,1.33472
0.920929,1.21442,0.0980014
0.00221013,1.96106,-0.776956
0.666565,1.00192,-892.603
0.475293,0.74045,-4.08899
0.794336,0.518286,-0.884509
0.929373,1.11856,0.744057
0.735043,0.862048,1.73606
0.0656057,0.0453174,37.5784
0.246285,3.39601,-0.259377
0.848232,0.552771,-0.45577
0.367081,1.35062,-0.623732
0.124062,4.51455,-1.24831
0.57095,0.192192,-5.0141
0.241825,0.214466,0.758791
0.215938,0.137244,1.65708
0.0374091,0.296638,2.79922
0.267973,1.81166,-1.02232
0.944956,0.61934,537.148
0.308796,2.14023,-1.87821
0.319901,0.223211,0.103337
0.805997,3.36998,1.36948
0.400645,0.340941,0.130908
0.426987,0.146329,-1.7183
0.0374872,0.406644,1.86398
0.187894,0.642097,1.8858
0.296926,3.25507,-0.536861
0.645894,3.65971,2.15367
0.803485,3.01234,0.586013
0.390715,0.652567,1.23775
0.777824,0.305576,2.36628
0.815733,0.059998,-1.88527
0.73954,0.166928,0.323752
0.240955,1.83727,-0.492317
0.358176,0.0789861,45.0485
0.522542,0.138682,0.0351894
0.515888,0.70833,-0.413369
0.564876,0.850216,-0.406641
0.209203,2.07995,2.20149
0.810856,0.619009,-0.582932
0.296167,0.606023,-0.36801
0.323324,0.290678,0.484093
0.141928,0.0365997,0.475211
0.615112,3.02335,2.98257
0.0577661,0.254913,-10.3793
0.105574,0.356077,-12.6585
0.138862,0.0290626,239.112
0.0316269,1.51915,-1.66199
0.250964,0.426375,-0.164056
0.928839,0.753259,1.07131
0.129876,0.689351,0.385046
0.0188308,0.0763293,0.497387
0.479777,0.84351,-1.35545
0.28648,0.0986866,0.987089
0.553529,2.25001,3.86294
0.248676,0.993354,-0.3754
0.184188,0.564228,-0.162006
0.232742,2.04271,1.69197
0.486838,0.439665,1.06208
0.211087,0.459119,0.36788
0.995499,0.777454,-2.05227
0.814888,0.664587,-3.92186
0.379814,1.02621,-10.8753
0.516789,0.618223,0.299352
0.311151,0.620462,-0.0541208
0.10136,0.137344,-10.5858
0.0299589,0.489631,2.8427
0.0287228,0.158147,0.259862
0.948321,1.62211,2.23154
0.549612,0.899435,-3.56656
0.929166,0.157996,0.438415
0.01178,1.72975,0.587618
0.711502,0.567962,-3.81353
0.558324,1.66321,2.08582
0.782458,1.03724,4.90424
0.114193,0.145208,-5.69599
0.0415138,2.04,0.34339
0.210958,0.818245,-5.52135
0.325051,0.541625,-0.35553
0.527303,0.552397,-0.338255
0.264066,0.777351,1.76929
0.802339,1.729,0.866144
0.760314,0.238122,-0.290936
0.115578,0.0468571,-0.569238
0.455956,0.453413,-1.68995
0.514723,0.0621195,0.728028
0.633986,0.0444408,1.57501
0.323816,1.66592,-1.26875
0.695842,1.60637,1.54592
0.248509,1.32282,-2.2288
0.896112,1.80076,0.807679
0.0679879,0.137977,-0.114785
0.0326687,1.49173,0.616525
0.195382,0.0901547,-0.679935
0.646642,1.16686,-0.491298
0.0707067,0.776572,1.79646
0.425293,0.0633356,-12.8378
0.254644,0.17669,-2.98851
0.697659,0.0786315,-1.50941
0.839004,0.31457,0.807283
0.18761,0.239706,0.828048
0.22929,0.296712,-1.39422
0.917367,1.05987,-0.312442
0.983957,0.604409,-0.626967
0.0890206,1.86294,0.228957
0.195936,1.45621,-0.231725
0.369808,1.92045,-0.366126
0.288343,2.16583,-0.944751
0.653854,0.557391,11.3232
0.226982,0.151196,5.48679
0.770063,0.856802,-0.0920855
0.93551,2.05844,0.523026
0.787412,1.42838,-1.23898
0.365865,0.32689,-0.556956
0.69632,1.40454,0.542451
0.872056,0.173084,-0.520522
0.511567,1.54175,0.121117
0.434303,0.283765,-0.0236343
0.515487,1.21734,-1.96155
0.296871,0.429654,0.0170889
0.168819,0.428771,-1.2917
0.808113,0.00971617,0.454039
0.984427,0.130047,-1.31465
0.814099,5.01342,-84.1845
0.26889,0.0854613,-0.788089
0.0653556,1.10261,-32.1801
0.0996207,1.07457,-0.342256
0.578263,4.5294,2.31187
0.49333,2.15909,-1.26517
0.623751,0.441984,-3.67172
0.818132,1.54091,-0.0127935
0.673241,0.605524,-0.0167221
0.997079,1.79285,0.2037
0.785905,1.15342,-0.0899229
0.814913,0.316952,-14.3366
0.536021,0.316731,-0.302827
0.776168,0.126688,-0.956162
0.549895,3.06652,3.06493
0.247137,0.387854,1.82838
0.150812,0.58956,-2.91781
0.701016,0.321276,-0.242171
0.0741266,0.0911212,0.012726
0.555751,4.50862,2.97413
0.344721,1.64617,-1.95068
0.00723482,0.0419032,-0.355719
0.670488,0.359085,0.0577205
0.356654,2.83827,-0.274864
0.314898,2.12678,0.848324
0.221393,0.553103,0.527301
0.906261,0.550361,0.724711
0.386671,0.449114,0.623763
0.666848,0.734226,3.16744
0.277307,0.762826,1.01618
0.996822,0.0104461,0.107016
0.919205,0.755609,9.91427
0.0591565,1.21814,0.185147
0.0176433,0.729891,-0.345331
0.747945,2.68244,0.897752
0.916408,0.531617,-0.463714
0.00168935,0.442769,-4.46748
0.412874,0.330314,-0.554281
0.344863,0.0512,0.47517
0.0228813,2.57055,0.567365
0.56951,1.4353,4.24293
0.17091,1.0526,-1.3274
0.17771,0.74901,215.685
0.132988,0.0949311,-1.62685
0.556403,1.72932,-7.64389
0.430598,0.610613,0.891014
0.438385,1.8759,1.01781
0.201402,0.373641,-0.141336
0.839541,1.35539,0.0530102
0.874077,1.45594,2.13285
0.627309,2.00671,-1.47339
0.954705,1.08563,0.298643
0.0560907,0.440618,-1.02999
0.768838,0.852245,-0.210359
0.481398,0.644606,-6.14734
0.659644,0.959065,-0.406098
0.855514,0.190618,1.03235
0.541138,0.0497315,-48.8825
0.694271,0.279485,-0.954687
0.78889,1.13977,-0.171881
0.396,2.4898,10.6487
0.837703,0.560688,-0.566714
0.570279,1.25682,0.580986
0.694199,1.83881,-7.13856
0.964501,1.67219,15.3181
0.470879,0.563483,-1.49978
0.265262,2.17234,0.0571289
0.865023,0.205328,-1.29856
0.837831,3.17685,0.904689
0.950539,0.370209,-2.87841
0.255493,0.390194,3.50556
0.35188,1.3283,-0.148499
0.144175,1.03727,-32.7636
0.740137,0.311187,-0.161511
0.284548,0.0164459,-0.608789
0.0208509,3.83963,0.239915
0.563433,0.59957,0.0924627
0.158784,0.750103,-8.4641
0.314714,0.6608,0.101628
0.749914,1.06314,15.4092
0.410437,0.232364,-0.393487
0.679566,0.228028,8.20658
0.410038,0.0363735,0.594042
0.969742,0.173498,-0.132098
0.823019,0.87437,0.370184
0.908568,5.18109,-12.8566
0.363659,0.138276,-0.543459
0.299975,0.219373,-1.80553
0.429071,2.51642,-40.078
0.900146,0.00620782,0.752891
0.0201242,0.1071,-0.545311
0.864673,1.25386,-0.117831
0.651341,0.396148,0.590215
0.771444,1.60261,11.9245
0.307832,0.799872,0.797703
0.334028,0.117744,0.0140789
0.540252,1.45782,-0.397366
0.391337,0.665467,-0.482245
0.067703,0.588056,2.22953
0.198811,1.08175,0.900679
0.174111,0.210613,-1.96434
0.773127,1.46978,6.32896
0.827896,0.823155,8.05191
0.323338,0.0687877,-2.14877
0.859775,1.45721,-0.0506998
0.702076,1.3392,59.5725
0.123481,2.01178,-0.55467
0.744783,0.222149,3.27582
0.888267,0.140169,-0.471234
0.0530677,1.07016,2.53545
0.0933048,0.433655,-0.446922
0.0128375,0.15805,0.546693
0.888459,0.492337,0.424313
0.643501,1.10608,-1.31609
0.608876,0.0228214,-0.179925
0.33433,0.604631,0.357866
0.973526,2.21124,-0.039467
0.734215,2.48449,0.00125372
0.713276,0.141172,1.44959
0.361429,0.502917,9.83644
0.141276,0.484617,-6.07306
0.317551,0.288879,0.166938
0.68952,0.40088,0.00875495
0.817147,1.14963,0.557252
0.678978,1.47065,-2.01864
0.966273,0.167255,0.406968
0.561176,1.02937,-0.854625
0.184638,0.528975,-0.707893
0.700307,0.355816,1.49652
0.578309,0.0651902,-1.9518
0.583568,0.97199,-1.21508
0.512333,0.423535,0.723615
0.127316,0.321602,-1.02011
0.127258,4.17347,0.207609
0.547797,1.30653,-0.452647
0.839399,1.61901,-53.8558
0.300715,0.441837,1.17359
0.273198,0.747618,-0.242615
0.134745,0.0286817,3.13335
0.877968,0.0878124,0.157243
0.490619,3.30344,-9.75678
0.127144,0.712121,1.43914
0.670993,0.300512,2.23304
0.171625,0.471246,1.40288
0.576515,0.431223,1.07321
0.788869,1.31737,0.857739
0.408222,4.53582,-0.182635
0.973958,0.876983,-2.18766
0.415437,0.418899,10.7598
0.653868,1.21423,0.378626
0.733573,2.37751,3.43888
0.265548,0.133018,0.526604
0.422986,1.27958,2.4864
0.54186,3.85855,0.698017
0.78817,1.42498,-4.74972
0.580381,0.343426,-2.15316
0.811246,1.21488,1.78091
0.0359433,1.6527,-0.0980463
0.998316,0.801524,1.80077
0.289705,0.675054,-0.743726
0.0751411,0.0919179,2.95513
0.106831,0.0179289,1.10935
0.589,0.403726,7.15028
0.558202,0.289298,21.8808
0.665188,0.527967,1.52503
0.167431,0.377107,0.501747
0.738419,0.481234,4.40997
0.927781,4.02565,0.944401
0.456779,0.119689,-2.11372
0.665428,0.864919,-0.864912
0.538011,0.351164,-0.955824
0.201307,1.42229,-3.756
0.407313,0.411072,0.729039
0.649985,0.302388,-0.551581
0.143644,0.197315,-0.296658
0.513391,4.06721,33.9584
